ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Decibel Farms,Decibel | Purple MAC | 90µ-120µ | Live Rosin | 1g,PERCENTAGE,25.5,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,2
Decibel Farms,Decibel | Wedding Crasher | 90µ | Live Rosin | 1g,PERCENTAGE,63.59,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,50,2
Decibel Farms,Donkey Butter Live Rosin | 1g,PERCENTAGE,63.34,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,50,3
Decibel Farms,Key Lime Pie Live Rosin | 1g,PERCENTAGE,64.07,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,2
Decibel Farms,Key Lime Pie Live Rosin | 1g,PERCENTAGE,65.56,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,50,2
Decibel Farms,Papaya Punch Live Rosin | 1g,PERCENTAGE,67.74,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,50,2
Decibel Farms,Papaya Punch Live Rosin | 1g,PERCENTAGE,68.08,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,10
Decibel Farms,Purple MAC Live Rosin | 1g,PERCENTAGE,63.71,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,50,2
Decibel Farms,Rotten Banana Live Rosin | 1g,PERCENTAGE,62.6,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,2
Decibel Farms,Spiked Garlic Breath Live Rosin | 1g,PERCENTAGE,26.8,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,6
Decibel Farms,Wonka Bars Live Rosin | 1g,PERCENTAGE,60.1,PERCENTAGE,0,Oregons Finest (Pearl Dispensary),0,Concentrate,rosin,1g,50,9
Decibel Farms,Wonka Bars Live Rosin | 1g,PERCENTAGE,60.11,PERCENTAGE,0,Oregons Finest (Convention Center),1,Concentrate,rosin,1g,50,3
Elysium Fields,Elysium Fields - GOLDEN LEMONS HASH ROSIN - Dabs - - H,PERCENTAGE,68.9,N/A,0,Chalice Farms (Powell),1,Concentrate,hash,1g,50,7
