ProductBrand,ProductName,ProductTHCUnit,ProductTHCAmount,ProductCBDUnit,ProductCBDAmount,DispensaryName,Delivery,ProductType,ProductTypeSub,Quantity1,Price1,QuantityAvailable
Happy Cabbage Farms,Happy Cabbage - Melon Granita - Hash Rosin Cart,N/A,0,N/A,0,SWED CO,0,Concentrate,rosin,.5g,44.17,5
PDX Dabs,Orange GMO Hash Rosin - PDX Dabs,PERCENTAGE,65,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,45,21
PDX Dabs,PTP Hash Rosin - PDX Dabs,PERCENTAGE,65,N/A,0,Natural RXemedies,0,Concentrate,hash,1g,45,22
Highland Provisions,Garlic Drip Premium Live Rosin Jam | 1g,PERCENTAGE,78.15,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,45.83,3
Highland Provisions,Member OG Premium Live Rosin Jam | 1g,PERCENTAGE,72.96,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,45.83,3
Highland Provisions,Sundae Driver Premium Live Rosin Jam | 1g,PERCENTAGE,69.38,PERCENTAGE,0,VIBE - Amberlight,0,Concentrate,rosin,1g,45.83,1
Highland Provisions,Chem Z Live Rosin Jam | 1g,PERCENTAGE,72.2,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,47.46,5
Highland Provisions,Paradise Circus Premium Live Rosin Jam | 1g,PERCENTAGE,70.8,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,47.46,1
Highland Provisions,Sour Diesel Premium Live Rosin Jam | 1g,PERCENTAGE,74.3,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,47.46,2
Highland Provisions,Star Pebbles Premium Live Rosin | 1g,PERCENTAGE,0,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,47.46,10
Highland Provisions,Triple Stuffed Premium Live Rosin Jam | 1g,PERCENTAGE,74.3,PERCENTAGE,0,Top Hat Express,1,Concentrate,rosin,1g,47.46,4
Bos Nose Knows,Grape Mac,N/A,0,N/A,0,Archive,0,Concentrate,rosin,1g,47.6,1
